"topnav_shop_button","Shop"
"cutscene_userepisode_introduction_girl_no_worries","No worries! I'll ask an old friend for help!"
"booster_name_CandyFreeSwitch","Free Switch"
"cutscene_rainbowrunway_resolution_minty_aie","Aaaaiiieeeeeeeee!"
"booster_name_CandyFreeSwitchEighteenPack","Free Switch"
"cutscene_cherrychateau_introduction_spoiledgirl_hello","Hello? "
"popup_charms_shop_box_message_CandyHardCurrencyX500","Contains gold so you can purchase items in game."
"cutscene_meringuemoor_introduction_girl_let","Let me take care of it!"
"popup_charms_shop_box_message_CandyCoconutLiquoriceEighteenPack","Add powerful Coconut Wheels to the candy mix!"
"booster_description_CandyExtraMoves","Get 5 extra moves!"
"booster_name_CandyAntiPepparEighteenPack","Bomb Cooler"
"popup_charms_shop_daily_offer_message_CandyCharmOfExtraLife","Your friends will thank you for giving them eternal extra lives!"
"booster_description_CandySwedishFish","Add Jelly Fish candies to the candy mix."
"booster_name_CandyExtraTimeEighteenPack","Extra Time"
"popup_mission_continue_button","OK"
"tooltip_topnav_rate","Show your friends that you like this game."
"tooltip_topnav_toggle_music_off","Mute sounds."
"popup_life_received_button_accept_send","Accept & Send "
"booster_name_CandyYetiShopPack2LargeTest2","Lucky Times"
"popup_invite_like_games","King Friends"
"tooltip_world_booster_wheel","Spin and get a free booster!"
"popup_pwf_level_progress","Level progress"
"champion_title_episode29","Bubbling Boss"
"champion_title_episode28","Polka Superstar"
"champion_title_episode25","Pastry Chef"
"champion_title_episode24","Fairy Godmother"
"popup_item_unlocked_button_continue","Continue"
"champion_title_episode27","Royal Sweet Tooth"
"item_category_candyResource","Ingredient"
"daily_bonus_popup_footer","Come back tomorrow for more gifts!"
"champion_title_episode26","Sherbet Shogun"
"champion_title_episode31","Cherry Sheriff"
"champion_title_episode32","Sweetest Shepherd"
"tooltip_powerup_button_gift_from_friend_multi","Gifts from friends!"
"champion_title_episode33","Baroque Baroness"
"champion_title_episode34","Papa Grande"
"cutscene_cloud_introduction_girl_what_happened","Mr. Giant! What happened?"
"booster_description_CandyColorRemove","Removes one color from the candy mix! Very powerful!"
"champion_title_episode30","Rainbow Catcher"
"facebook_send_help_accept_message","I will help you unlock the next episode! "
"topnav_feedback_button","Give us feedback!"
"champion_title_episode36","Caramel Keyboardist"
"tooltip_lock_of_odus_locked","You need to progress further to unlock the next episode."
"champion_title_episode35","Queen of Shiba"
"game_swipe_end_win_order","You collected all orders!"
"tooltip_topnav_lifeHeart_zero","You have no lives left. Click the plus to get more."
"topnav_like_button","Like"
"booster_name_CandyAntiPeppar","Bomb Cooler"
"facebook_send_help_accept_title","Here is your ticket!"
"popup_charms_shop_box_message_CandyHardCurrencyX250","Contains gold so you can purchase items in game."
"popup_champion_beaten_title","You are the Champion!"
"popup_game_over_title_loss","Level {0} failed"
"cutscene_cherrychateau_resolution_spoiledgirl_how_dare","How dare you! GRRRRRR!"
"product_package_message","Continue playing with the help of these boosters!"
"popup_charms_single_info_header_CandyCharmOfFrozenTime","Buy the Charm of Frozen Time!"
"popup_life_received_message_2","You got an extra life from {0} and {1}!"
"popup_champion_beaten_button_share","Share"
"cutscene_munchy_monolith_introduction_girl_we_need_some_magic","We need some magic!"
"popup_game_start_game_mode_classic","Reach {1} points within {0} seconds to complete the level!"
"popup_candy_bank_package_needed","Gold Bar package needed:"
"popup_many_friends_beaten_title","Friends beaten"
"tutorial_idBankIntroductionInsideBank","Click here to get Gold Bars. First time's for free!"
"cutscene_icecreamcaves_resolution_yuni_yay","I'm free! Let's eat ice cream!"
"popup_no_more_lives_time","Time to next life:"
"popup_booster_wheel_jackpot_name","Jackpot"
"game_swipe_end_lose_message_reason_orders_b","Orders collected: {0}"
"booster_name_CandyWrapped","Wrapped"
"popup_collaboration_panel_free_message","Right now you can get instant access to the next episode, 3 Color Bombs and 3 Lollipop Hammers ({0} value)  for FREE! Don't miss out!"
"booster_name_CandyJokerEighteenPack","Lucky Candy"
"popup_charms_shop_box_message_CandyHammerEighteenPack","Use this booster to smash items on the board!"
"popup_charms_shop_daily_offer_none_header","SOLD OUT!"
"cutscene_polkapalooza_resolution_rockstar_gnarley","Groovy! Thanks heaps kid! The show can go on!"
"popup_saga_complete_message","Soon there will be new places to explore. Until then you can replay previous levels to gain higher scores and more stars!"
"popup_charms_shop_box_message_CandyStripedWrappedNinePack","Start the game with a Wrapped and a Striped Candy!"
"facebook_friend_passed_share_promt","I passed you in Candy Crush Saga!"
"popup_charms_shop_box_message_CandyCharmOfFrozenTime","This charm makes time stand still when you're planning your moves on levels with time limits!"
"game_swipe_end_lose_message_reason_ingredients_b","Ingredients cleared: {0}"
"tooltip_ingame_gui_score","Gain at least {0} points to reach your target!"
"popup_collaboration_panel_free_title","Get it for free!"
"incentive_text_discount","{0}%
discount"
"tooltip_topnav_toggle_sound_off","Mute music."
"booster_name_CandyExtraTimeFourteenPack","Extra Time"
"cutscene_rainbowrunway_introduction_minty_yes","Yes *hiccup* but I can't lift off! Too much candy!"
"facebook_xmas_card_share_promt","Happy Holidays, {0}!"
"popup_askfriend_life_title","Ask for lives"
"game_swipe_end_continue_button_text","Play On"
"popup_shop_gifts_send_to","Send to"
"popup_item_unlocked_purchase_amount_CandyExtraMoves","1"
"popup_item_unlocked_title","{0} unlocked"
"popup_charms_single_unlocked_header_CandyCharmOfFrozenTime","Charm of Frozen Time unlocked!"
"popup_charms_shop_daily_offer_header","Mr. Yeti's Daily Offer"
"booster_description_CandyYetiShopPack2LargeTest2","9 Bomb Coolers, 9 Extra Time and 9 Lucky Candies"
"product_description_CandyFullLife","Get a full set of lives instantly"
"popup_videoad_btn_view","New Life"
"booster_description_CandyExtraTime","Bonus time during time levels!"
"cutscene_userepisode_introduction_cakelady_oh_dear","Oh dear! "
"cutscene_liquoriceTower_introduction_guard_help","Help! "
"cutscene_cherrychateau_resolution_girl_great","Great! You got yourself down!"
"cutscene_rainbowrunway_introduction_minty_boost","Could you give me a boost?"
"popup_lock_of_odus_header","Next dream is locked"
"tooltip_powerup_button_activate","Use now!"
"popup_saga_complete_button_ok","See you!"
"popup_notification_central_button_accept_and_send","Accept & send"
"topnav_craft_button","Craft"
"cutscene_liquoriceTower_resolution_guard_blimey","Blimey! There they was! Thanks a lot!"
"booster_name_CandyStriped","Striped"
"booster_info_bubble_label_MostPopular","Most
Popular"
"cutscene_puddingpagoda_introduction_cat_gumzilla_wrecks","Gumzilla is wrecking the Pudding Pagoda! Stop him!"
"popup_shop_gifts_treat_yourself","Treat yourself"
"tutorial_explainSwitching_try_yourself","Make 3 more matches to complete the level!"
"powerup_tipster_charm_description","It seems like you're having trouble with this level. Maybe this charm can help you?"
"cutscene_pearlywhiteplains_resolution_fairy_thank_you","My teeth are nice and clean! Thank you!"
"booster_description_CandyComboHelper","Get help to find the most powerful switches!"
"booster_name_CandyJoker","Lucky Candy"
"booster_description_tipster_CandyJoker","Adds Lucky Candy to the candy mix, which will transform into useful candy when removed!"
"champion_title_episode10","Captain Wafer"
"game_swipe_end_rewind_the_dream_button_text","Rewind the dream"
"champion_title_episode12","Pastille Pharaoh"
"champion_title_episode11","Grand Witch"
"booster_info_bubble_button_purchase","Purchase"
"popup_game_over_loss_message","You failed to reach
{0} points!"
"facebook_friend_beaten_share_description","Click on the image to challenge me!"
"tutorial_introduceBoosterCandyBubbleGum","Click here to get some help from the troll and stop the chocolate spawners!"
"popup_welcome_title","Welcome to"
"popup_candy_bank_title","Candy Bank"
"cutscene_chocolate_barn_introduction_sad_cow_cry","Moo!"
"champion_title_episode15","Party Queen"
"champion_title_episode16","Crunchy Count"
"champion_title_episode13","Cupcake Showman"
"popup_recieved_gift","{0} has sent you a gift!"
"popup_game_over_fail_reason_pepper_exploded","You did not remove 
the bomb in time!"
"champion_title_episode14","Caramel Chieftain"
"champion_title_episode19","Holiday Spirit"
"champion_title_episode17","Farm Hero"
"champion_title_episode18","Polar Explorer"
"champion_title_episode23","Sugar Shaman"
"champion_title_episode22","Marmalade Mermaid"
"champion_title_episode21","Tiramisaurus Rex"
"champion_title_episode20","Sky Lord"
"preloader_loading_part2_message","Mixing ingredients"
"cutscene_puddingpagoda_resolution_gumtroll_ill_be_back","I'll be back! HA HA HA!"
"tutorial_owlModeMoonStruckOngoing","As long as there’s power still left in the Moon, there’ll always be fewer types of candy to crush. So make the most of it and get crushing!"
"cutscene_butterscotchboulders_introduction_driver_the_gumtroll","The Bubblegum Troll blocked the tracks with chocolate! I can't pass it!"
"popup_charms_shop_box_message_CandyGiftPack1","Contains two boosters: Color Bomb and Jelly Fish."
"popup_charms_shop_box_message_CandyGiftPack2","Contains three boosters: Color Bomb, Free Switch and Coconut Wheel."
"popup_charms_shop_box_message_CandyExtraTimeEightPack","Start the game with {0} extra seconds play time!"
"popup_item_unlocked_purchase_amount_CandyExtraTime","3"
"booster_description_CandyShuffle","Shuffles the candy mix to find new switches!"
"popup_item_unlocked_purchase_amount_CandyBubbleGum","3"
"ingame_ui_sign_score","score:"
"game_swipe_end_lose_reason_lights_plural","You only need {0} more jellies."
"midroll_get_rid_of_ads_title","Tired of Ads?"
"facebook_took_champion_title_form_friend_share_description","Click on the image to challenge me!"
"popup_notification_central_life_request_message_2","{0} and {1} are out of lives!"
"popup_notification_central_life_request_header","Help {0}"
"cutscene_sugaryshire_introduction_girl_no_problem","No problem! I know what to do!"
"popup_charms_shop_box_message_CandyAntiPepparEighteenPack","Adds 5 to the countdown of all visible bombs!"
"popup_charms_single_info_header_CandyCharmOfStripedCandy","Buy the Charm of Striped Candy!"
"popup_askfriend_unlock_button","Send request"
"popup_game_start_game_mode_light_up","Clear all the jelly to complete the level!"
"cutscene_holiday_hut_resolution_girl_happy_holiday","Happy Holiday!"
"popup_charms_shop_box_message_CandyColorBombEighteenPack","Start the game with a Color Bomb!"
"cutscene_girl_introduction_go_that_way","Pssst, the world is that way!"
"popup_charms_shop_box_message_CandySwedishFishNinePack","Adds Jelly Fish to the candy mix, which clears three pieces of jelly when you match it!"
"popup_xmas_card_button_send","Send"
"popup_collaboration_panel_PayWithMobile_info","This is the minimum carrier price point, the remainder will be added to your Candy Bank."
"cutscene_icecreamcaves_introduction_yuni_im_stuck","I wanted ice cream but I fell and got stuck in this cone!"
"popup_saga_complete_header","To be continued..."
"booster_name_CandyHardCurrencyX3","3 gold bars"
"cutscene_yeti_introduction_help_please","Mr. Yeti, can you please help?"
"booster_name_CandyHardCurrencyX2","2 gold bars"
"popup_charms_shop_box_message_CandySwedishFishEighteenPack","Adds Jelly Fish to the candy mix, which clears three pieces of jelly when matched with candies of the same color!"
"booster_name_CandyHardCurrencyX1","1 gold bar"
"popup_item_unlocked_purchase_amount_CandyColorBomb","3"
"tooltip_ingame_gui_moves","Every successful switch costs a move. Game ends when all are used."
"cutscene_delicious_drifts_resolution_happy_polarbear","Cool!"
"booster_name_CandyHardCurrencyX9","9 gold bars"
"popup_no_more_lives_title","No more lives"
"game_swipe_end_lose_header_reason_quit","You pressed the quit button!"
"cutscene_sodaswamp_resolution_croc_thanks","Well, I thanky! Now aint that swamp purdy?"
"tooltip_topnav_toggle_music_on","Enable sounds."
"cutscene_robot_resolution_me_help","Now it's my turn to help you!"
"tooltip_world_yeti_shop_sign","This is where you buy really awesome boosters!"
"cutscene_icecreamcaves_introduction_yuni_cry","Eeeeeiiiiii! Eeeeeiiiiii!"
"popup_unlocked_item_name","Unlocked {0}"
"popup_buy_lives_message","You can ask your friends for extra lives, or buy a full set instantly to continue playing."
"game_swipe_end_offer_title","{0}%
discount"
"popup_item_unlocked_purchase_amount_CandyFreeSwitch","3"
"cutscene_ocean_introduction_girl_lets_see","Let's see what I've got up my sleeve!"
"booster_name_CandySwedishFishEighteenPack","Jelly Fish"
"popup_intro_pwf_give_time_header","Help your friends by sending extra time!"
"product_package_purchase_confirmation_header","You bought {0}"
"powerup_tipster_buy_button","Buy"
"dream_world_title","Dreamworld"
"booster_name_CandyExtraMoves","Extra Moves"
"booster_description_tipster_CandyExtraMoves","Activate this booster at any time to get 5 extra moves!"
"booster_description_CandyJoker","Add Lucky Candy to the candy mix."
"booster_name_CandyHardCurrencyX250","250 gold bars"
"popup_charms_shop_box_message_CandyAntiPepparNinePack","Adds 5 to the countdown of all visible bombs!"
"popup_booster_wheel_legal","One spin daily; booster won is free. Booster is not refundable; cannot be exchanged, transferred or used in other games."
"popup_candy_bank_free_button","FREE"
"booster_info_quantity_CandyExtraTime","15"
"booster_name_CandyYetiShopPack1LargeTest2","Bombalicous Fishes"
"cutscene_jellyJungle_introduction_dino_oh_dear","Oh dear! "
"no_flash_player","To play Candy crush Saga you need to upgrade your Flash Player."
"cutscene_butterscotchboulders_resolution_driver_thanks","The chocolate is gone! Thanks little girl!"
"tutorial_explainSwitching_direction_down","Swipe this candy down to match 3 of the same!"
"popup_shop_charms_button","Charms"
"popup_charms_shop_trialpay_button","Earn Credits"
"popup_invite_all_friends","All Friends"
"popup_notification_central_unlock_request_message_multi","{0} and {1} other friends want to unlock the next episode!"
"popup_invite_invite_btn","Invite"
"popup_highscore_send_life_to_all_button","Send to all"
"popup_candy_bank_best_value","Best Value"
"booster_info_bubble_discount","Save: {0}"
"cutscene_ocean_introduction_girl_whats_the_matter","What's the matter underwater twin?"
"booster_name_CandyHardCurrencyX200","200 gold bars"
"popup_shop_gifts_gift_two_description","This sweet candy present contains 3 boosters: Color Bomb, Free Switch and Coconut Wheel"
"popup_item_unlocked_purchase_amount_CandyJoker","3"
"popup_life_received_message_multi","You got an extra life from {0} and {1} other friends!"
"game_swipe_end_lose_reason_orders_plural","You only need to collect {0} more orders."
"preloader_loading_part1_message","Adding frosting"
"popup_charms_shop_box_message_CandyExtraTime","Start the game with {0} extra seconds play time!"
"tutorial_introduce_owl_on_map","Odus will show you the way to the new world! Click him to play now!"
"balance_indicator_title","Balance"
"cutscene_liquoriceTower_introduction_girl_cheerio","Good day Mr Guard! Whats the matter?"
"popup_collaboration_received_message","Your friend {0} helps you board!"
"tutorial_introduceBoosterCandyExtraTime","Click here to get extra time!"
"cutscene_icecreamcaves_introduction_girl_let","Dry those tears, I'll help you!"
"popup_invite_search_friend","Search Friend"
"powerup_tipster_booster_description","It seems like you're having trouble with this level. Maybe this booster can help you?"
"popup_game_start_game_mode_order","Collect all orders to complete the level!"
"popup_charms_single_message_CandyCharmOfFrozenTime","This charm makes time stand still when you're planning your moves on levels with time limits!"
"popup_shop_gifts_select_friend","Select friend"
"cutscene_holiday_hut_introduction_girl_hi_miss","Hi Miss Gingerbread! Happy Holiday!"
"popup_hard_currency_funny_subtitle","You got Gold!"
"booster_description_tipster_CandyColorRemove","Removes one color from the candy mix! Very powerful!"
"popup_game_start_game_mode_drop_down_score","Collect all ingredients to complete the level!"
"booster_name_CandyColorBombFourteenPack","Color Bomb"
"incentive_text_limited","For a short time only!"
"cutscene_sleepyslopes_resolution_owl_hoo","Hoo Hoo! Let's make your dreams come true!"
"popup_buy_lives_button_buy","Buy"
"cutscene_puddingpagoda_resolution_cat_thank_you","Thank you! You saved the day!"
"tutorial_idScoreMeter","More matches give you a better score. Get {0} points to complete the level! "
"popup_shop_gifts_button","Gifts"
"cutscene_sleepyslopes_introduction_girl_sigh","Sigh! I feel so tired from helping folks!"
"popup_charms_shop_box_message_CandyExtraTimeNinePack","Start the game with {0} extra seconds play time!"
"facebook_episode_complete_share_promt","Wow, episode {0} in Candy Crush Saga!"
"tooltip_topnav_invite","It's more fun to play with friends! 
Click to invite!"
"popup_champion_new_title","You are the Champion!"
"popup_error_alert_title","Ooooops! What happened?"
"popup_collaboration_received_header","You got help!"
"cutscene_holiday_hut_introduction_girl_dont_worry","Don't worry! I can help you with that!"
"cutscene_polkapalooza_introduction_rockstar_bohoo","Boohoo, my hair is ruined! "
"game_swipe_end_end_button_text","End Game"
"tutorial_idWrapped1","Try a T or L-shaped match!"
"tutorial_idWrapped2","...to get a special candy! Match it to clear lots of candy!"
"tooltip_ingame_star_meter_star_1","Reach {0} points to get one star"
"cutscene_yeti_introduction_how_wake_up","Mr. Yeti is asleep. How can I wake him up?"
"booster_info_quantity_CandyAntiPeppar","5"
"daily_bonus_popup_headline","Years of great games! "
"popup_charms_shop_box_message_CandyColorBombFourteenPack","Start the game with a Color Bomb!"
"tooltip_ingame_star_meter_star_3","Reach {0} points to get three stars"
"tooltip_ingame_star_meter_star_2","Reach {0} points to get two stars"
"popup_item_unlocked_purchase_amount_CandyHammer","3"
"popup_mission_accomplished_header","Well done!"
"cutscene_sugaryshire_resolution_ram_sweet","Sweet! Now my cotton is fluffy again!"
"game_swipe_end_lose_reason_orders_singular","You only need 1 more order."
"tutorial_button_skip","ok"
"popup_pwf_invite_more_friends","Invite more friends"
"popup_game_over_victory_your_score","Your score:"
"preloader_loading_complete_header","Candy complete!"
"game_swipe_intro_mode_drop_down_score_header","Collect all ingredients!"
"tutorial_introduceBoosterCandyHammer","Click here to get a hammer that can smash items on the board!"
"booster_name_CandyExtraTimeEightPack","Extra Time"
"booster_description_tipster_CandyCoconutLiquorice","Add powerful Coconut Wheels to the candy mix!"
"cutscene_chocolate_barn_resolution_girl","Wait, I've got some magic cocoa beans in my bag!"
"facebook_xmas_card_share_name","Get into the holiday spirit with a sweet, delicious, divine Candy Crush greeting. Happy holidays and may your dreams be full of candy!"
"popup_collaboration_panel_PayWithMobile","Pay with mobile"
"booster_name_CandyBubbleGumEighteenPack","Bubblegum Troll"
"cutscene_sugaryshire_introduction_girl_hello","Hello, Mr. Ram! What happened here?"
"popup_highscore_friends_label","High score"
"shop_sign_new","New"
"booster_name_CandyExtraTimeNinePack","Extra Time"
"booster_name_CandyHardCurrencyX50","50 gold bars"
"popup_charms_shop_box_header_CandyCharmOfExtraLife","Charm of Life"
"cutscene_crunchy_castle_resolution_girl","I've got a treat for you!"
"booster_reminder_description_CandyExtraMoves","5 extra moves!"
"popup_collaboration_panel_button_friends","Ask friends"
"booster_description_tipster_CandyShuffle","Shuffles the Candy mix to find new switches!"
"game_swipe_end_win_jelly","You cleared all the jelly!"
"popup_mission_accomplished_content","You completed the Bubble Witch Saga task and got a full set of lives and Lollipop Hammer as a reward!"
"tooltip_topnav_message_button","View messages"
"cutscene_circus_introduction_help","I think I can help you!"
"cutscene_rainbowrunway_resolution_minty_thanks","Thanks, Miss! You're a star!"
"popup_many_friends_passed_message_2","and {1} more friends."
"booster_name_CandyColorBombEighteenPack","Color Bomb"
"game_swipe_end_lose_header_reason_owl_mode_scale_tipped","Odus fell down!"
"midroll_before_ad_message_thanks_for_watching","Thank you for keeping Candy Crush Saga free to play!"
"tooltip_ingame_gui_quit_button","Quit game.
(You will lose a life.)"
"popup_candy_bank_secure_payment","Secure Payment"
"dream_world_construction_sign","Come back soon!"
"popup_mission_content","Play our hit game Bubble Witch Saga. When you've played level 8 you'll get a full set of lives and a delicious Lollipop Hammer!"
"facebook_send_life_accepted_message","Here's a life! Good Luck!"
"booster_name_CandyHardCurrencyX30","30 gold bars"
"popup_friend_beaten_button_share","Share"
"popup_notification_central_life_request_message_multi","{0} and {1} other friends are out of lives!"
"booster_name_CandyHammer","Lollipop Hammer"
"preloader_loading_header","Making candy"
"booster_name_CandyHardCurrencyX29","29 gold bars"
"cutscene_cloud_introduction_girl_i_help","I can help you to get home!"
"booster_name_CandyCoconutLiquoriceFourteenPack","Coconut Wheel"
"cutscene_sweet_surprise_resolution_everybody_get","Get him!"
"booster_name_CandyHardCurrencyX40","40 gold bars"
"game_swipe_end_win_points","You reached {0} points!"
"cutscene_holiday_hut_introduction_girl_what_icant","What? I can't understand what you are saying!"
"booster_name_CandyExtraMovesPostGame","Extra Moves "
"tutorial_idColorBomb2","Mix it with any candy to remove all of that color!"
"tutorial_idColorBomb3","You can mix all sorts of special candies for surprising effects!"
"game_swipe_end_lose_message_reason_lights_b","Jellies cleared: {0}"
"game_swipe_end_lose_reason_ingredients_singular","You only need 1 more ingredient."
"popup_charms_single_message_CandyCharmOfExtraLife","This charm permanently increases your maximum lives from 5 to 8!"
"tutorial_owlModeUnbalanced","Careful! Odus is about to fall. Try to balance the Moon Scale."
"booster_name_CandyHardCurrencyX39","39 gold bars"
"popup_many_friends_passed_title","Friends passed"
"booster_name_CandyHardCurrencyX12","12 gold bars"
"midroll_get_rid_of_ads_message_opart2","to keep the game ad free for 30 days!"
"cutscene_robot_resolution_hurray","Awesome!"
"booster_name_CandyStripedWrappedNinePack","Striped & Wrapped"
"cutscene_sugaryshire_introduction_ram_oh","Oh! This is baaad! "
"booster_name_CandyHardCurrencyX10","10 gold bars"
"game_swipe_end_lose_header_reason_moves","No more possible switches!"
"preloader_loading_part3_message","Measuring sugar"
"booster_name_CandyStripedWrappedEighteenPack","Striped & Wrapped"
"cutscene_Octopus_introduction_Ihave_Bubblegum","Hmm... I have some bubblegum."
"popup_item_unlocked_purchase_amount_CandyCoconutLiquorice","3"
"popup_candy_bank_ingame_currency","Gold"
"popup_charms_single_open_shop_button","Go to shop"
"tooltip_switcher_button_world_default","Enter Dreamworld!"
"cutscene_holiday_hut_introduction_missgingerbread_mumble","Mumble mumble..."
"popup_charms_shop_box_message_CandyCoconutLiquoriceNinePack","Add powerful Coconut Wheels to the candy mix!"
"booster_description_tipster_CandyDoubleScores","Activate this booster at any time to add x2 bonus candies to the candy mix!"
"tooltip_switcher_button_world_parallel","Return to reality!"
"tooltip_popup_notification_central_information","Maximum life messages in message center is {0}.

You can send one message per type and friend per day.
 
Extra moves messages will help you or your friend on the specific level they were received on.

Messages received will only be active during this visit."
"booster_name_CandyHardCurrencyX25","25 gold bars"
"popup_booster_wheel_header","Daily Booster Wheel"
"booster_name_CandyHardCurrencyX20","20 gold bars"
"midroll_before_ad_message_please_watch","Please watch this message from our sponsor."
"tooltip_highscore_give_life","Send {0} a life for free!"
"popup_charms_shop_box_message_CandyExtraTimeFourteenPack","Start the game with {0} extra seconds play time!"
"booster_name_CandyHardCurrencyX19","19 gold bars"
"popup_collaboration_panel_button_buy","Unlock"
"popup_notification_central_unlock_request_message_2","{0} and {1} want to unlock the next episode!"
"booster_description_CandyCoconutLiquorice","Add Coconut Wheels to the candy mix!"
"popup_game_over_loss_your_score","Score"
"popup_champion_new_button_share","Share"
"popup_booster_wheel_description","Spin the wheel for free, once every day for a chance to win the Jackpot, a big box of sweets, containing 3 of each of the following: Lollipop Hammer, Color Bomb, Jelly Fish, Free Switch, Striped & Wrapped, Coconut Wheel and Lucky Candy. 
 
Happy Spinning!"
"tutorial_introduceBoosterCandySweetTeeth","Click here to release a pair of candy crunching teeth!"
"game_swipe_end_lose_header_reason_time","Out of time!"
"item_category_candyBooster","Booster"
"popup_friend_passed_message","Sweet! You passed {0}."
"popup_game_start_game_mode_drop_down","Collect all ingredients to complete the level!"
"popup_invite_show_all","Show more friends"
"tooltip_map_collaboration_button","Click to unlock next episode!"
"booster_description_tipster_CandyComboHelper","Get help to find the most powerful switches!"
"popup_charms_shop_info_message","Some Charms can be activated once per game, other Charms help you out in other ways. But all Charms are forever and you can use them over and over."
"cutscene_userepisode_resolution_cakelady_yay","Yay! Thank you! Now I can continue baking my Strawberry Fudge Shortcakes!"
"product_header_CandyUnlockLevel2Friends","Candy Crush Episode Unlock"
"cutscene_Octopus_resolution_Hurray_Bubblegum","Hurray for bubblegum!"
"cutscene_Pyramid_introduction_so_tired","I'm so tired, but I can't get into my pyramid."
"game_ingredients_list_header","Collect:"
"popup_champion_beaten_message","You dethroned {0} as champion of {1}!"
"cutscene_PolkaPalace_introduction_I_fix","I can help you with that wish!"
"popup_life_received_button_continue","Accept"
"champion_title_episode5","Lollipop Ranger"
"champion_title_episode4","Chocolate Mountaineer"
"tutorial_idExplainLightUp2","Match over the jelly to remove it. Start with these three!"
"champion_title_episode3","Lemonade Lord"
"champion_title_episode2","Candy Factory Master"
"champion_title_episode1","Mayor of Candy Town"
"tutorial_idExplainLightUp1","Remove all jelly to complete the level!"
"popup_booster_wheel_claim_price","Claim prize"
"popup_mission_accomplished_continue_button","Continue"
"champion_title_episode9","Minty Sultan"
"champion_title_episode8","Licorice Astronaut"
"champion_title_episode7","Troll Hunter"
"popup_hard_currency_formal_button","Claim Gold"
"booster_description_tipster_CandyExtraTime","Gives {0} extra seconds play time on Time levels!"
"champion_title_episode6","Chief Egg Layer"
"booster_description_CandyExtraMovesPostGame","Get 5 extra moves!"
"booster_description_CandyGiftPack1","Color Bomb and Jelly Fish"
"cutscene_jellyJungle_introduction_girl_dont_worry","Don't worry! I'll save you!"
"tooltip_lock_of_odus_saga_locked","You need to reach level {0} in the normal Candy world to unlock the next episode."
"booster_description_CandyGiftPack3","Color Bomb, Bomb Cooler, Striped & Wrapped and Sweet Teeth"
"booster_description_CandyGiftPack2","Color Bomb, Coconut Wheel and Free Switch"
"champion_is_you_tooltip","You are the champion of {0} with {1} episode stars!"
"popup_game_over_victory_title","Level {0} completed!"
"popup_error_alert_button_ok","ok!"
"popup_game_start_button_play","Play"
"game_swipe_end_lose_message_reason_ingredients","Collect ingredients"
"booster_name_CandyHardCurrencyX500","500 gold bars"
"tutorial_introduceCharmCandyCharmOfStripedCandy","Gives you a magic brush that can turn regular candies into striped candies!"
"facebook_episode_complete_share_description","Click here to come on in and celebrate with me!"
"booster_name_CandyColorBombNinePack","Color Bomb"
"tooltip_ingame_gui_dropdown_GA_DD_ingredient_2_icon","Collect cherries."
"popup_pwf_stuck_on_level","STUCK ON LEVEL {0}"
"cutscene_circus_introduction_stole_key","What to do?"
"cutscene_userepisode_introduction_cakelady_yes_and_i_cant","Yes, and I can't find my spoon in the dark!"
"product_package_purchase_confirmation_body","You now have an extra {0} of the items that are in that packet."
"cutscene_sleepyslopes_introduction_owl_maybe","Maybe someone should help you for a change?"
"game_swipe_end_offer_limited","Limited Offer"
"booster_name_CandyJokerNinePack","Lucky Candy"
"popup_buy_lives_button_ask_friends","Ask friends"
"popup_error_alert_message_header","An error was found, called:"
"cutscene_sweet_surprise_introduction_little_girl","Hoho, anybody here?"
"booster_name_CandyFreeSwitchNinePack","Free Switch"
"product_header_CandyFullLife","Candy Crush Saga Full Life"
"game_swipe_end_lose_reason_lights_singular","You only need 1 more jelly."
"booster_name_CandyYetiShopPack3LargeTest2","Lollipop Hammers"
"popup_notification_central_header","Your messages"
"booster_description_tipster_CandySwedishFish","Adds Jelly Fish to the candy mix, which clears three pieces of jelly when you match it!"
"booster_name_CandyHammerEighteenPack","Lollipop Hammer "
"popup_booster_wheel_share_jackpot_intro","Let your friends know that you’ve won the Jackpot!"
"product_header_CandyUnlockLevel1Friend","Candy Crush Episode Unlock"
"popup_candy_bank_buy_button","Buy"
"product_description_CandyUnlockLevel2Friends","Buy your way to the next episode."
"tooltip_popup_gamestart_target_player","You need at least {0} points to beat {1}!"
"cutscene_chocolate_barn_introduction_sad_cow","Yes, but I can't make chocolate milk! Nothing's growing..."
"popup_charms_shop_box_header_CandyCharmOfStripedCandy","Charm of Stripes"
"popup_buy_lives_button_ask_friends_xmission","Claim offer"
"tooltip_powerup_button_buy","Click to buy!"
"cutscene_yeti_resolution_mr_yeti","Mr Yeti...?"
"popup_charms_shop_box_message_CandyColorBombNinePack","Start the game with a Color Bomb!"
"booster_name_CandyGiftPack2","Sweet Gift Pack"
"booster_name_CandyGiftPack1","Popular Gift Pack"
"popup_game_over_victory_description","Click here to follow my progress!"
"booster_name_CandyGiftPack3","Best Value Gift Pack"
"facebook_saga_complete_share_description","There's a ton of new stuff coming to Candy Crush Saga real soon!"
"tutorial_introduceBoosterCandyStripedWrapped","Start your game with a striped and a wrapped candy on the board. Click to toggle on or off!"
"cutscene_polkapalooza_introduction_girl_whats_wrong","What's wrong Mr. Rockstar?"
"popup_notification_central_life_request_message","{0} is out of lives!"
"popup_notification_central_unlock_request_header_multi","Help your friends out"
